model,context_id,human_average_rating,response,prevgt,all_references,context
dualencoder_train,28_16,1.2,"no , that would be crazy . but then who will it be ? oh dear , it must be me . i should have known it ! why else would he have talked to me alone about the downsizing . what should i do ? i 've got a family to support .",what would you do without me ?,yes it is !	i am looking forward to spending time with you .	it isn	what would you do without me ?,"we really were lucky . we got the last available table for two --- and we did n't even have a reservation ! did you see the long lines behind us ?||||yeah , i 'm glad that we did n't have to wait long . i 'm starving !||||let 's take a look at the menu so we can order . do you want to choose an appetizer for us to share ?||||what would you rather have , samosas or poppadoms ?||||i heard that one of their specialities is the samosa .||||well , let 's get a plate of those then .||||sounds good . what are you going to have for your main course ?||||i think i might have a dahl .||||what 's in a dahl ?||||it 's got chickpeas and vegetables in a spicy curry sauce with rice .||||that sounds nice . do you want to share some kebabs as well ?||||ok . how about some lamb kebabs ?||||that 's my favourite . do you want to have some wine or beer ?||||i think i 'll have a beer .||||ok , shall i flag down the waitress ?||||i would n't recommend it . i think we should wait until she comes round .||||you 're right . that might seem a bit rude . it 's a good thing i 've got you with me !"
human,28_16,4.0,you would have been fine if i were n't here lol .,what would you do without me ?,yes it is !	i am looking forward to spending time with you .	it isn	what would you do without me ?,"we really were lucky . we got the last available table for two --- and we did n't even have a reservation ! did you see the long lines behind us ?||||yeah , i 'm glad that we did n't have to wait long . i 'm starving !||||let 's take a look at the menu so we can order . do you want to choose an appetizer for us to share ?||||what would you rather have , samosas or poppadoms ?||||i heard that one of their specialities is the samosa .||||well , let 's get a plate of those then .||||sounds good . what are you going to have for your main course ?||||i think i might have a dahl .||||what 's in a dahl ?||||it 's got chickpeas and vegetables in a spicy curry sauce with rice .||||that sounds nice . do you want to share some kebabs as well ?||||ok . how about some lamb kebabs ?||||that 's my favourite . do you want to have some wine or beer ?||||i think i 'll have a beer .||||ok , shall i flag down the waitress ?||||i would n't recommend it . i think we should wait until she comes round .||||you 're right . that might seem a bit rude . it 's a good thing i 've got you with me !"
hredf,28_16,2.4,i 'm going to have a try .,what would you do without me ?,yes it is !	i am looking forward to spending time with you .	it isn	what would you do without me ?,"we really were lucky . we got the last available table for two --- and we did n't even have a reservation ! did you see the long lines behind us ?||||yeah , i 'm glad that we did n't have to wait long . i 'm starving !||||let 's take a look at the menu so we can order . do you want to choose an appetizer for us to share ?||||what would you rather have , samosas or poppadoms ?||||i heard that one of their specialities is the samosa .||||well , let 's get a plate of those then .||||sounds good . what are you going to have for your main course ?||||i think i might have a dahl .||||what 's in a dahl ?||||it 's got chickpeas and vegetables in a spicy curry sauce with rice .||||that sounds nice . do you want to share some kebabs as well ?||||ok . how about some lamb kebabs ?||||that 's my favourite . do you want to have some wine or beer ?||||i think i 'll have a beer .||||ok , shall i flag down the waitress ?||||i would n't recommend it . i think we should wait until she comes round .||||you 're right . that might seem a bit rude . it 's a good thing i 've got you with me !"
CVAEf,39_3,1.75,"i am trying to meet you , mr . _UNK . i 've heard about the job of your company .",i had a skydiving accident over the weekend and wo n't be able to come to school today .,i would like to do some extra credit .	what do you have that i can do ?	how is my grade looking ?	i had a skydiving accident over the weekend and wo n't be able to come to school today .,"hi , is this professor clark 's office ?||||this is professor clark speaking .||||hi , this is kalina from your morning literature class .||||yes , what can i do for you ?"
seq2seqf,39_3,1.4,i 'm not sure . i 'm not sure .,i had a skydiving accident over the weekend and wo n't be able to come to school today .,i would like to do some extra credit .	what do you have that i can do ?	how is my grade looking ?	i had a skydiving accident over the weekend and wo n't be able to come to school today .,"hi , is this professor clark 's office ?||||this is professor clark speaking .||||hi , this is kalina from your morning literature class .||||yes , what can i do for you ?"
hredf,39_3,1.0,i 'm going to have a cup of coffee .,i had a skydiving accident over the weekend and wo n't be able to come to school today .,i would like to do some extra credit .	what do you have that i can do ?	how is my grade looking ?	i had a skydiving accident over the weekend and wo n't be able to come to school today .,"hi , is this professor clark 's office ?||||this is professor clark speaking .||||hi , this is kalina from your morning literature class .||||yes , what can i do for you ?"
human,39_3,1.6,i am not sure .,i had a skydiving accident over the weekend and wo n't be able to come to school today .,i would like to do some extra credit .	what do you have that i can do ?	how is my grade looking ?	i had a skydiving accident over the weekend and wo n't be able to come to school today .,"hi , is this professor clark 's office ?||||this is professor clark speaking .||||hi , this is kalina from your morning literature class .||||yes , what can i do for you ?"
dualencoder_train,39_3,1.25,hi . i bought one of your vacuums from spend - wart . it 's broken now .,i had a skydiving accident over the weekend and wo n't be able to come to school today .,i would like to do some extra credit .	what do you have that i can do ?	how is my grade looking ?	i had a skydiving accident over the weekend and wo n't be able to come to school today .,"hi , is this professor clark 's office ?||||this is professor clark speaking .||||hi , this is kalina from your morning literature class .||||yes , what can i do for you ?"
hredf,27_0,4.2,"yes , i 'd like to book a room for a week .","yes , i want to send a registered airmail letter to france .","yes , i would like to make a reservation .	yes , what time are you open till ?	yes , where are you guys located ?	yes , i want to send a registered airmail letter to france .","next , please . hello , may i help you , sir ?"
seq2seqf,27_0,4.2,"yes , i 'd like to book a table for my daughter .","yes , i want to send a registered airmail letter to france .","yes , i would like to make a reservation .	yes , what time are you open till ?	yes , where are you guys located ?	yes , i want to send a registered airmail letter to france .","next , please . hello , may i help you , sir ?"
dualencoder_train,27_0,4.666666666666667,"hi , i would like to send this package to china , and these postcards as well .","yes , i want to send a registered airmail letter to france .","yes , i would like to make a reservation .	yes , what time are you open till ?	yes , where are you guys located ?	yes , i want to send a registered airmail letter to france .","next , please . hello , may i help you , sir ?"
CVAEf,27_0,3.3333333333333335,yes . i 'd like to make a reservation for you .,"yes , i want to send a registered airmail letter to france .","yes , i would like to make a reservation .	yes , what time are you open till ?	yes , where are you guys located ?	yes , i want to send a registered airmail letter to france .","next , please . hello , may i help you , sir ?"
human,27_0,4.666666666666667,yes . i 'd like to order a steak hoagie .,"yes , i want to send a registered airmail letter to france .","yes , i would like to make a reservation .	yes , what time are you open till ?	yes , where are you guys located ?	yes , i want to send a registered airmail letter to france .","next , please . hello , may i help you , sir ?"
CVAEf,72_1,2.75,i have to say that i 'm not familiar with the internet . i just want to get a new job .,my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,the night supervisor has called in sick .	a car drove through our front door .	the door to the supply closet is broken and i ca n't fix it .	my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,"ms . montgomery ? this is richard thomas . i 'm sorry to bother you at home , but i 've got a bit of a problem .||||oh ? what 's wrong ?"
hredf,72_1,2.8,"well , i 'm going to work overtime .",my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,the night supervisor has called in sick .	a car drove through our front door .	the door to the supply closet is broken and i ca n't fix it .	my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,"ms . montgomery ? this is richard thomas . i 'm sorry to bother you at home , but i 've got a bit of a problem .||||oh ? what 's wrong ?"
human,72_1,4.25,"i can not find my son , have you seen him ?",my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,the night supervisor has called in sick .	a car drove through our front door .	the door to the supply closet is broken and i ca n't fix it .	my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,"ms . montgomery ? this is richard thomas . i 'm sorry to bother you at home , but i 've got a bit of a problem .||||oh ? what 's wrong ?"
dualencoder_train,72_1,1.6,"mr . : i 'm mr . taylor , and i 'm your counselor . i 'm going to show you around the school .",my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,the night supervisor has called in sick .	a car drove through our front door .	the door to the supply closet is broken and i ca n't fix it .	my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,"ms . montgomery ? this is richard thomas . i 'm sorry to bother you at home , but i 've got a bit of a problem .||||oh ? what 's wrong ?"
seq2seqf,72_1,1.75,i 'm not sure .,my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,the night supervisor has called in sick .	a car drove through our front door .	the door to the supply closet is broken and i ca n't fix it .	my daughter 's just banged up her knee pretty badly and i 'm going to have to take her to the hospital . i 'll be about two hours late .,"ms . montgomery ? this is richard thomas . i 'm sorry to bother you at home , but i 've got a bit of a problem .||||oh ? what 's wrong ?"
human,8_1,4.2,"they sound yummy , an tempted to come over",what about soup ?,"that sounds good , what about dessert ?	i ca n't wait to sit down and eat !	do you need me to set the table ?	what about soup ?","my dear , what 's for supper ?||||red cooked carp and rape with fresh mushrooms ."
hredf,8_1,1.0,i 'm afraid i ca n't .,what about soup ?,"that sounds good , what about dessert ?	i ca n't wait to sit down and eat !	do you need me to set the table ?	what about soup ?","my dear , what 's for supper ?||||red cooked carp and rape with fresh mushrooms ."
CVAEf,8_1,1.2,you can get a spot and crack .,what about soup ?,"that sounds good , what about dessert ?	i ca n't wait to sit down and eat !	do you need me to set the table ?	what about soup ?","my dear , what 's for supper ?||||red cooked carp and rape with fresh mushrooms ."
seq2seqf,8_1,2.4,i 'll take it .,what about soup ?,"that sounds good , what about dessert ?	i ca n't wait to sit down and eat !	do you need me to set the table ?	what about soup ?","my dear , what 's for supper ?||||red cooked carp and rape with fresh mushrooms ."
dualencoder_train,8_1,1.2,what 's the weather like in winter ?,what about soup ?,"that sounds good , what about dessert ?	i ca n't wait to sit down and eat !	do you need me to set the table ?	what about soup ?","my dear , what 's for supper ?||||red cooked carp and rape with fresh mushrooms ."
dualencoder_train,18_0,1.25,you need to put 50 cents into the washer machine and a dollar into the dryer .,perhaps you 'd be interested in red roses .,"what type would you like ?	i have roses , tulips and lillies	they come in blue , red , purple and pink .	perhaps you 'd be interested in red roses .",i need to buy some flowers for my wife .
hredf,18_0,1.4,what kind of jewellery would you like ?,perhaps you 'd be interested in red roses .,"what type would you like ?	i have roses , tulips and lillies	they come in blue , red , purple and pink .	perhaps you 'd be interested in red roses .",i need to buy some flowers for my wife .
CVAEf,18_0,1.25,what kind of beef are you available ?,perhaps you 'd be interested in red roses .,"what type would you like ?	i have roses , tulips and lillies	they come in blue , red , purple and pink .	perhaps you 'd be interested in red roses .",i need to buy some flowers for my wife .
seq2seqf,18_0,1.6,what kind of room do you like ?,perhaps you 'd be interested in red roses .,"what type would you like ?	i have roses , tulips and lillies	they come in blue , red , purple and pink .	perhaps you 'd be interested in red roses .",i need to buy some flowers for my wife .
human,18_0,5.0,what 's the occasion ?,perhaps you 'd be interested in red roses .,"what type would you like ?	i have roses , tulips and lillies	they come in blue , red , purple and pink .	perhaps you 'd be interested in red roses .",i need to buy some flowers for my wife .
dualencoder_train,14_1,3.6,"it 's very kind of you . by the way , when does the pool close ?",how much is it ?,thanks	i appreciate it	your the best	how much is it ?,"do you have maps of downtown area ?||||yes , here you are ."
CVAEf,14_1,1.8,i 'd like to see your reservation . is there any discount available ?,how much is it ?,thanks	i appreciate it	your the best	how much is it ?,"do you have maps of downtown area ?||||yes , here you are ."
hredf,14_1,4.75,thank you .,how much is it ?,thanks	i appreciate it	your the best	how much is it ?,"do you have maps of downtown area ?||||yes , here you are ."
human,14_1,4.75,"thank you so much ! i 'd like to also see some maps for the countryside , as well .",how much is it ?,thanks	i appreciate it	your the best	how much is it ?,"do you have maps of downtown area ?||||yes , here you are ."
seq2seqf,14_1,1.75,what 's the problem ?,how much is it ?,thanks	i appreciate it	your the best	how much is it ?,"do you have maps of downtown area ?||||yes , here you are ."
human,2_1,5.0,by turning off the power at night,mainly because we 've invested in a heat recovery system .,we have managed our orders better and have lowered our production .	we have time sensitive lights and machinery that shut off after a certain time	we have upgraded our equipment to use less energy	mainly because we 've invested in a heat recovery system .,we 've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .||||that 's excellent . how have you managed that ?
seq2seqf,2_1,2.2,i have a lot of experience in the world .,mainly because we 've invested in a heat recovery system .,we have managed our orders better and have lowered our production .	we have time sensitive lights and machinery that shut off after a certain time	we have upgraded our equipment to use less energy	mainly because we 've invested in a heat recovery system .,we 've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .||||that 's excellent . how have you managed that ?
CVAEf,2_1,1.25,"i think we should work on our _UNK . the market is mostly a newly market , but they are very supportive .",mainly because we 've invested in a heat recovery system .,we have managed our orders better and have lowered our production .	we have time sensitive lights and machinery that shut off after a certain time	we have upgraded our equipment to use less energy	mainly because we 've invested in a heat recovery system .,we 've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .||||that 's excellent . how have you managed that ?
dualencoder_train,2_1,1.8,"in response to your offer , the sellers have decided to counter - offer three hundred and thirty - five thousand dollars .",mainly because we 've invested in a heat recovery system .,we have managed our orders better and have lowered our production .	we have time sensitive lights and machinery that shut off after a certain time	we have upgraded our equipment to use less energy	mainly because we 've invested in a heat recovery system .,we 've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .||||that 's excellent . how have you managed that ?
hredf,2_1,1.75,"well , i was awarded by the factory department .",mainly because we 've invested in a heat recovery system .,we have managed our orders better and have lowered our production .	we have time sensitive lights and machinery that shut off after a certain time	we have upgraded our equipment to use less energy	mainly because we 've invested in a heat recovery system .,we 've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .||||that 's excellent . how have you managed that ?
dualencoder_train,84_0,1.0,there 's a parking structure for students .,just tor three days . i wo n't need these luggages . couid i put them here ?,i 'll be here for one week .	i 'll be in new york for four days .	i 'll be here for two weeks .	just tor three days . i wo n't need these luggages . couid i put them here ?,how long will you stay in new york ?
seq2seqf,84_0,1.6,i 'd like to have a look at the moment .,just tor three days . i wo n't need these luggages . couid i put them here ?,i 'll be here for one week .	i 'll be in new york for four days .	i 'll be here for two weeks .	just tor three days . i wo n't need these luggages . couid i put them here ?,how long will you stay in new york ?
human,84_0,5.0,"at least a week , not sure yet",just tor three days . i wo n't need these luggages . couid i put them here ?,i 'll be here for one week .	i 'll be in new york for four days .	i 'll be here for two weeks .	just tor three days . i wo n't need these luggages . couid i put them here ?,how long will you stay in new york ?
hredf,84_0,4.4,about 3 years .,just tor three days . i wo n't need these luggages . couid i put them here ?,i 'll be here for one week .	i 'll be in new york for four days .	i 'll be here for two weeks .	just tor three days . i wo n't need these luggages . couid i put them here ?,how long will you stay in new york ?
CVAEf,84_0,4.4,about 3 months .,just tor three days . i wo n't need these luggages . couid i put them here ?,i 'll be here for one week .	i 'll be in new york for four days .	i 'll be here for two weeks .	just tor three days . i wo n't need these luggages . couid i put them here ?,how long will you stay in new york ?
CVAEf,76_3,1.2,"yeah , that 's a good idea . you can use the _UNK _UNK .","hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","i understand , no problem !	ah , so are they fake ?	that 's so interesting !	hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","wow ! your fruit looks really fresh ! how much are these apples ?||||the apples are 30nt each . how many would you like ?||||let 's see , 30nt is about ... almost a dollar us . what ? ! how about these pineapples ?||||they 're 250nt each , but they 're not edible . they 're only used for worship ."
seq2seqf,76_3,3.6,i see .,"hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","i understand , no problem !	ah , so are they fake ?	that 's so interesting !	hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","wow ! your fruit looks really fresh ! how much are these apples ?||||the apples are 30nt each . how many would you like ?||||let 's see , 30nt is about ... almost a dollar us . what ? ! how about these pineapples ?||||they 're 250nt each , but they 're not edible . they 're only used for worship ."
hredf,76_3,1.6,"well , i think they 're very lucky .","hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","i understand , no problem !	ah , so are they fake ?	that 's so interesting !	hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","wow ! your fruit looks really fresh ! how much are these apples ?||||the apples are 30nt each . how many would you like ?||||let 's see , 30nt is about ... almost a dollar us . what ? ! how about these pineapples ?||||they 're 250nt each , but they 're not edible . they 're only used for worship ."
dualencoder_train,76_3,1.4,most women follow fashion like sheep . they do n't know any better than imitate .,"hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","i understand , no problem !	ah , so are they fake ?	that 's so interesting !	hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","wow ! your fruit looks really fresh ! how much are these apples ?||||the apples are 30nt each . how many would you like ?||||let 's see , 30nt is about ... almost a dollar us . what ? ! how about these pineapples ?||||they 're 250nt each , but they 're not edible . they 're only used for worship ."
human,76_3,4.8,oh ! well then i 'll take some apples then .,"hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","i understand , no problem !	ah , so are they fake ?	that 's so interesting !	hmm , 250nt is ... 8 dollars ? ! ! and you ca n't even eat them ? you 're crazy !","wow ! your fruit looks really fresh ! how much are these apples ?||||the apples are 30nt each . how many would you like ?||||let 's see , 30nt is about ... almost a dollar us . what ? ! how about these pineapples ?||||they 're 250nt each , but they 're not edible . they 're only used for worship ."
CVAEf,90_1,1.75,what did you do ?,can you tell me how to get to the jade buddha temple ?,"great , can you help me with this then .	cool , then can you help me find where this is ?	alright , then maybe i can ask you for help .	can you tell me how to get to the jade buddha temple ?","do you speak english ?||||yes , a little ."
hredf,90_1,3.4,what do you think of the literature ?,can you tell me how to get to the jade buddha temple ?,"great , can you help me with this then .	cool , then can you help me find where this is ?	alright , then maybe i can ask you for help .	can you tell me how to get to the jade buddha temple ?","do you speak english ?||||yes , a little ."
dualencoder_train,90_1,2.0,do you sing alto ?,can you tell me how to get to the jade buddha temple ?,"great , can you help me with this then .	cool , then can you help me find where this is ?	alright , then maybe i can ask you for help .	can you tell me how to get to the jade buddha temple ?","do you speak english ?||||yes , a little ."
seq2seqf,90_1,4.4,what 's your name ?,can you tell me how to get to the jade buddha temple ?,"great , can you help me with this then .	cool , then can you help me find where this is ?	alright , then maybe i can ask you for help .	can you tell me how to get to the jade buddha temple ?","do you speak english ?||||yes , a little ."
human,90_1,3.0,that 's good . what do you think about shakespeare ?,can you tell me how to get to the jade buddha temple ?,"great , can you help me with this then .	cool , then can you help me find where this is ?	alright , then maybe i can ask you for help .	can you tell me how to get to the jade buddha temple ?","do you speak english ?||||yes , a little ."
seq2seqf,92_2,3.75,"no , thanks . i 'll take it .","no , thanks .","no , no ice cream .	can i get some sugar sprinkled on top ?	is it vanilla ice cream ?	no , thanks .","can i help you ?||||yes , i 'm in a bit of a rush . could i have a piece of apple pie please ?||||certainly . would you like it with ice cream ?"
CVAEf,92_2,3.8,"yes , i like that suggestion .","no , thanks .","no , no ice cream .	can i get some sugar sprinkled on top ?	is it vanilla ice cream ?	no , thanks .","can i help you ?||||yes , i 'm in a bit of a rush . could i have a piece of apple pie please ?||||certainly . would you like it with ice cream ?"
human,92_2,5.0,i would love it with ice cream .,"no , thanks .","no , no ice cream .	can i get some sugar sprinkled on top ?	is it vanilla ice cream ?	no , thanks .","can i help you ?||||yes , i 'm in a bit of a rush . could i have a piece of apple pie please ?||||certainly . would you like it with ice cream ?"
dualencoder_train,92_2,1.6,"yes , do you have any rooms available ?","no , thanks .","no , no ice cream .	can i get some sugar sprinkled on top ?	is it vanilla ice cream ?	no , thanks .","can i help you ?||||yes , i 'm in a bit of a rush . could i have a piece of apple pie please ?||||certainly . would you like it with ice cream ?"
hredf,92_2,5.0,"no , thanks .","no , thanks .","no , no ice cream .	can i get some sugar sprinkled on top ?	is it vanilla ice cream ?	no , thanks .","can i help you ?||||yes , i 'm in a bit of a rush . could i have a piece of apple pie please ?||||certainly . would you like it with ice cream ?"
CVAEf,59_7,2.8,"yeah , i know . it 's a classic opera . i hear the king _UNK is very popular .",it surely is . and the cast is really the best .,"yes , it 's a favorite of mine .	it 's the one i 'm most looking forward to .	i 'm most excited about this one .	it surely is . and the cast is really the best .","good morning . vane theater , at your service .||||hello . i 'm thinking about watching a chinese traditional opera with a foreign girl . what 's on this weekend ?||||well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .||||it 's a good thing that i have choices here . can you tell me about the one on saturday ?||||sure . it 's to raise money for the homeless .||||what about the performance itself ?||||oh , it 's a reserved opera named the monkey creates havoc in heaven .||||wow , a story about the clever monkey king . it 's a classic and children 's favorite ."
seq2seqf,59_7,2.6,"yes , it 's a real _UNK .",it surely is . and the cast is really the best .,"yes , it 's a favorite of mine .	it 's the one i 'm most looking forward to .	i 'm most excited about this one .	it surely is . and the cast is really the best .","good morning . vane theater , at your service .||||hello . i 'm thinking about watching a chinese traditional opera with a foreign girl . what 's on this weekend ?||||well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .||||it 's a good thing that i have choices here . can you tell me about the one on saturday ?||||sure . it 's to raise money for the homeless .||||what about the performance itself ?||||oh , it 's a reserved opera named the monkey creates havoc in heaven .||||wow , a story about the clever monkey king . it 's a classic and children 's favorite ."
hredf,59_7,2.8,"yes , they are .",it surely is . and the cast is really the best .,"yes , it 's a favorite of mine .	it 's the one i 'm most looking forward to .	i 'm most excited about this one .	it surely is . and the cast is really the best .","good morning . vane theater , at your service .||||hello . i 'm thinking about watching a chinese traditional opera with a foreign girl . what 's on this weekend ?||||well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .||||it 's a good thing that i have choices here . can you tell me about the one on saturday ?||||sure . it 's to raise money for the homeless .||||what about the performance itself ?||||oh , it 's a reserved opera named the monkey creates havoc in heaven .||||wow , a story about the clever monkey king . it 's a classic and children 's favorite ."
human,59_7,4.8,"surely it is , will you like to have tickets for it ?",it surely is . and the cast is really the best .,"yes , it 's a favorite of mine .	it 's the one i 'm most looking forward to .	i 'm most excited about this one .	it surely is . and the cast is really the best .","good morning . vane theater , at your service .||||hello . i 'm thinking about watching a chinese traditional opera with a foreign girl . what 's on this weekend ?||||well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .||||it 's a good thing that i have choices here . can you tell me about the one on saturday ?||||sure . it 's to raise money for the homeless .||||what about the performance itself ?||||oh , it 's a reserved opera named the monkey creates havoc in heaven .||||wow , a story about the clever monkey king . it 's a classic and children 's favorite ."
dualencoder_train,59_7,1.8,"that is guaranteed . each box is lined with foam plastic in order to prevent damage by air , water or stress . besides , cardboard boxes will be secured together on wood pallets by overall metal strapping .",it surely is . and the cast is really the best .,"yes , it 's a favorite of mine .	it 's the one i 'm most looking forward to .	i 'm most excited about this one .	it surely is . and the cast is really the best .","good morning . vane theater , at your service .||||hello . i 'm thinking about watching a chinese traditional opera with a foreign girl . what 's on this weekend ?||||well , there will be charity performance on saturday night . and also , there will be a solo concert by an opera star on sunday night .||||it 's a good thing that i have choices here . can you tell me about the one on saturday ?||||sure . it 's to raise money for the homeless .||||what about the performance itself ?||||oh , it 's a reserved opera named the monkey creates havoc in heaven .||||wow , a story about the clever monkey king . it 's a classic and children 's favorite ."
dualencoder_train,22_2,1.75,i 'm bob brown . but i ca n't recall my account number .,"there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","i have four sisters and a brother . i have family in alabama and georgia .	i like to run for fun . also i like reading about sci fi .	i like to play video games . right now i am playing sekiro .	there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","tell me a little bit about yourself , please .||||my name is dunlin and i live in beijing . i was born in 1980 . i will graduate from peking university this july . i have majored in accounting .||||would you tell me something about your family ?"
hredf,22_2,2.0,i am a comparative manager .,"there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","i have four sisters and a brother . i have family in alabama and georgia .	i like to run for fun . also i like reading about sci fi .	i like to play video games . right now i am playing sekiro .	there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","tell me a little bit about yourself , please .||||my name is dunlin and i live in beijing . i was born in 1980 . i will graduate from peking university this july . i have majored in accounting .||||would you tell me something about your family ?"
human,22_2,4.25,"i have 3 children , 2 sons and 1 daughter","there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","i have four sisters and a brother . i have family in alabama and georgia .	i like to run for fun . also i like reading about sci fi .	i like to play video games . right now i am playing sekiro .	there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","tell me a little bit about yourself , please .||||my name is dunlin and i live in beijing . i was born in 1980 . i will graduate from peking university this july . i have majored in accounting .||||would you tell me something about your family ?"
seq2seqf,22_2,2.0,"yes , i have been in the states . i was in the states .","there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","i have four sisters and a brother . i have family in alabama and georgia .	i like to run for fun . also i like reading about sci fi .	i like to play video games . right now i am playing sekiro .	there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","tell me a little bit about yourself , please .||||my name is dunlin and i live in beijing . i was born in 1980 . i will graduate from peking university this july . i have majored in accounting .||||would you tell me something about your family ?"
CVAEf,22_2,2.0,"yes , i have a master degree in my pocket .","there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","i have four sisters and a brother . i have family in alabama and georgia .	i like to run for fun . also i like reading about sci fi .	i like to play video games . right now i am playing sekiro .	there are three in my family , my parents and myself . my father is a teacher and my mother is a worker .","tell me a little bit about yourself , please .||||my name is dunlin and i live in beijing . i was born in 1980 . i will graduate from peking university this july . i have majored in accounting .||||would you tell me something about your family ?"
human,29_0,4.5,my writing ability is much higher than anyone else 's that i know .,"of course . i 've loved writing since i was a very little boy . i won the first prize in a national composition contest when i was in middle school . after attending nanjing university , i never give up writing . my works , such as father 's tobacco pipe , open air cinema , the old city were respectively published china youth daily , yangzi evening news , and new beijing . during the period of studying for my degrees of master and doctor , i paid more attention to developing my research ability and published several papers . the impact of internet in chinese political participation , the discipline of remold , the historical direction of chinese administration reform , bribery cases of self governance in chinese villages are respectively published in chinese publish administration , beijing due xuebao , theory and society and chinese reform . i joined in yangzi evening news to work as a part - time journalist in 2006 . during this period , i 've written a lot of comments , which improved my writing ability to a new level , i have full confidence in my writing ability , and i believe i can do the job well .","i am a strong writer who uses all knowlede around me .	i am very creative and come up with very fun scenarios .	my writing ability may not be the best , but i make up for it with my hard work and dedication .	of course . i 've loved writing since i was a very little boy . i won the first prize in a national composition contest when i was in middle school . after attending nanjing university , i never give up writing . my works , such as father 's tobacco pipe , open air cinema , the old city were respectively published china youth daily , yangzi evening news , and new beijing . during the period of studying for my degrees of master and doctor , i paid more attention to developing my research ability and published several papers . the impact of internet in chinese political participation , the discipline of remold , the historical direction of chinese administration reform , bribery cases of self governance in chinese villages are respectively published in chinese publish administration , beijing due xuebao , theory and society and chinese reform . i joined in yangzi evening news to work as a part - time journalist in 2006 . during this period , i 've written a lot of comments , which improved my writing ability to a new level , i have full confidence in my writing ability , and i believe i can do the job well .","this position demands a higher writing ability , so please say something about your writing ability ."
